Node,ZeroAct,UpAct,DownAct,AvgAct,NodeType,degree_upstream,degree_downstream,degree_total
AIMP1_S140,0,100,0,100,T,0,1,1
AKAP13_S1565,0,100,0,100,T,0,3,3
AKT1,0,100,0,100,S,19,0,19
AKT1S1,0,100,0,100,S,1,0,1
AKT1S1_S183,0,100,0,100,T,0,4,4
AKT2,0,0,100,-100,,7,7,14
AKT3,0,100,0,100,S,7,0,7
ALK,0,100,0,100,,1,1,2
ANAPC1_S547,0,100,0,100,T,0,2,2
AQP2_S256,0,0,100,-100,T,0,3,3
AR,0,100,0,100,,1,5,6
ARHGAP12_S240,0,0,100,-100,T,0,1,1
ARHGAP22_S16,0,100,0,100,T,0,1,1
ARHGAP31_S1178,0,100,0,100,T,0,1,1
ARHGAP35_S1150,0,100,0,100,T,0,2,2
ARHGDIB_Y153,0,100,0,100,T,0,2,2
ARHGEF2_S886,0,100,0,100,T,0,3,3
ARHGEF6_S488,0,100,0,100,T,0,1,1
ARHGEF6_S684,0,100,0,100,T,0,1,1
ATM,0,100,0,100,S,9,0,9
ATM_S1981,0,100,0,100,T,0,2,2
ATR,0,100,0,100,S,4,0,4
ATXN1_S775,0,100,0,100,T,0,3,3
AURKB,0,100,0,100,S,7,0,7
AVP,0,0,100,-100,S,2,0,2
BABAM1_S29,0,0,100,-100,T,0,1,1
BAD_S134,0,0,100,-100,T,0,1,1
BCL3_S41,0,100,0,100,T,0,1,1
BCL6_S333,0,100,0,100,T,0,2,2
BET1_S50,0,100,0,100,T,0,1,1
BIN1_S296,0,0,100,-100,T,0,1,1
BMX,39.1304347826087,60.8695652173913,0,60.8695652173913,,1,1,2
BRAF,0,0,100,-100,,1,4,5
BUB1,0,100,0,100,S,2,0,2
C5AR1_S327,0,100,0,100,T,0,1,1
CALD1_S759,0,0,100,-100,T,0,1,1
CAMK1,0,0,100,-100,,1,2,3
CAMK2G_T287,0,0,100,-100,T,0,1,1
CAMKK1_S458,0,100,0,100,T,0,1,1
CAMKK1_S52,0,100,0,100,T,0,1,1
